Q70208	municipality of Switzerland
Q74047	ghost town
Q442799	faubourg
Q442993	group home
Q448801	big district town
Q449111	subdivision
Q452020	submarine pen
Q453909	built-up area
Q790344	district of Barcelona
Q800188	Île-de-France Clusters
Q810227	base camp
Q810652	bastide
Q815324	town municipality of Turkey
Q820254	mining community
Q821435	borough of Berlin
Q75848	gated community
Q83020	provincial city
Q88034	burh
Q88205	castrum
Q1296717	Egalitarian community
Q1307779	integrated municipality
Q1311819	Heimet
Q1317251	fishing village
Q1319414	Mueang
Q1321241	outpost
Q1326028	camp
Q1329068	Moorhufendorf
Q1331767	Mellah
Q1852859	populated place in the Netherlands
Q1867820	City status in the United Kingdom
Q1872284	municipality of Guatemala
Q1887569	shōen
Q1906268	municipality of Bulgaria
Q1419251	Quebec City–Windsor Corridor
Q1422929	primate city
Q1426493	trailer park
Q1434401	dzielnica
Q1441562	Coterminous municipality
Q484170	commune of France
Q486972	human settlement
Q1780633	religious intentional community
Q1782540	railway town
Q1788752	kongsgård
Q1797194	arts district
Q1802801	rural municipality of Austria
Q1807977	Veenkoloniën
Q1808877	deelgemeente
Q1815926	effective rural municipality
Q1829505	tuindorp
Q1840161	commune of Chile
Q132213	Haubarg
Q2023000	khutor
Q2039348	municipality of the Netherlands
Q877290	Gemeindebau
Q882149	nagari
Q893555	borgo
Q896881	city with tens of thousands of inhabitants
Q902814	border town
Q904319	Koreatown
Q826553	Falowiec
Q828359	commuter town
Q841869	new town of Hong Kong
Q851110	district of Budapest
Q851124	List of neighborhoods of Budapest
Q856076	municipality of Finland
Q1969642	neighborhood of San Francisco
Q1974855	Dehkan farm
Q1976594	science park
Q1985797	municipal unit of Greece
Q1989945	agrotown
Q114178	Bürgerkommune
Q123601	cities and towns in Lebanon
Q123705	neighborhood
Q505681	linear village
Q505963	artificial dwelling hill
Q509028	ranch
Q515483	baladiyah
Q517760	commune
Q498162	census-designated place
Q499073	direct-controlled municipality
Q1344719	Urban Enterprise Zone
Q1348006	city block
Q1349648	municipality of Greece
Q1350536	naukograd
Q923953	transborder agglomeration
Q925381	city with powiat rights
Q941150	city region
Q954172	Comune sparso
Q955655	municipality of Iceland
Q1019292	Bäuert
Q1021096	civic community
Q1021360	place of origin
Q1021711	seaside resort
Q1025961	capital of Japan
Q456075	Pueblos jóvenes
Q461741	NKVD special camp
Q465960	Jesuit missions among the Guaraní
Q469510	30 km/h zone (20 mph zone)
Q471822	megalopolis
Q907231	Japantown
Q909458	jōkamachi
Q914425	Signoria
Q917146	moshav
Q918230	Roman villa
Q1394476	civil township
Q1399147	fazenda
Q1406318	Holiday Village
Q1406988	grand ensemble
Q1410029	list of the municipi of Genoa
Q1415423	Quilombo
Q1416696	finca
Q1907114	metropolitan area
Q518343	municipal borough
Q519630	South African township
Q523342	Emslandlager
Q537250	federal city
Q133442	city-state
Q562061	market municipality
Q578521	borough of Montreal
Q581830	carfree city
Q582706	Israeli settlement
Q584571	Kiez
Q89477	castellum
Q89691	ksar
Q104157	city of the Philippines
Q1059478	town of Japan
Q1060846	yūkaku
Q1062710	municipality of Bolivia
Q1066538	National Central City
Q1066984	financial centre
Q1507736	torp
Q1512068	sołectwo
Q1516519	Hooverville
Q1520456	business park of private company
Q1529096	village in Turkey
Q1530824	metropolitan municipality
Q1544543	Greektown
Q2168991	Rotte
Q2170377	cauliflower neighborhhod
Q2176016	Rundangerdorf
Q2183520	obec
Q2191560	Skid row
Q2191999	Pogost
Q2195811	titular city
Q2202509	Roman city
Q490329	dong
Q493522	municipality of Belgium
Q494721	city of Japan
Q1847458	engenho
Q1849719	municipal formation in Russia
Q1851368	waterfront
Q1852119	district of Graz
Q1852178	locality of Düsseldorf
Q587089	city with municipal rights
Q587144	census town
Q603715	county of New Brunswick
Q604435	microdistrict
Q604886	charter city of the United States
Q609042	shtetl
Q152018	ghetto
Q1074523	planned community
Q1093829	city of the United States
Q1468524	city center
Q1471114	chacra
Q1479822	urban unit
Q1484611	buurtschap
Q1493533	parish village
Q1500352	local municipality
Q1501046	community settlement
Q856079	municipality of the Faroe Islands
Q860582	community area in Chicago
Q864288	bioenergy village
Q866623	Olympic Village
Q1557068	Ndumba
Q1567101	Hakhshara
Q1568229	hay
Q1568283	milecastle
Q1568530	Hagenhufendorf
Q1574228	hanamachi
Q1584957	Borough of Palermo
Q1589568	district municipality
Q153813	extermination camp
Q155511	plant nursery
Q627236	company town
Q627253	working class quarter
Q634099	rural settlement of Russia
Q108696	horse stud farm
Q109199	list of cities and towns in Georgia
Q127448	municipality of Sweden
Q131596	farm
Q2066754	manor
Q2101494	municipality in Switzerland
Q2110788	posessió
Q2112349	district-level town of Vietnam
Q2115448	intra-city territory of a federal city
Q2116450	manor estate
Q2138558	regiopolis
Q2140144	tract housing
Q2148181	Rhode
Q2148684	co-operative living arrangements
Q2154459	New England town
Q474164	Boomtown
Q477195	Meierhof
Q482810	special city
Q482821	metropolitan city of South Korea
Q483519	ri
Q159350	Rundling
Q159438	Hero City
Q985488	residential community of the People's Republic of China
Q992194	Hutterite colony
Q1002812	metropolitan borough
Q1006876	borough in the United Kingdom
Q1547289	Luther city
Q1548518	large district town
Q1548525	large independent city of Lower Saxony
Q1549591	big city
Q537981	Angerdorf
Q558330	municipality of Cuba
Q1928746	moshava
Q1940624	Banlieue
Q1952852	municipality of Mexico
Q1957554	ecoboot
Q1962175	Nahal settlement
Q1963041	municipality of Moldova
Q1963395	crossroad village
Q1968403	post town
Q158490	Gaeltacht
Q159313	urban agglomeration
Q152081	concentration camp
Q2074737	municipality of Spain
Q2087991	Romanian Black Sea resorts
Q2089229	list of cities in Alberta
Q2098891	Platzdorf
Q1357964	county town
Q1361214	Marschhufendorf
Q1372205	dispersed settlement
Q1375749	European City
Q1381899	municipality of Vietnam
Q1391818	military dependents' village
Q2340158	Zaścianek
Q2342385	urban area
Q2367508	township of Taiwan
Q2371398	Regional Service Commission
Q2373919	intentional community
Q1029013	Megaregions of the United States
Q1050126	sub-provincial district of the People's Republic of China
Q1050303	downtown
Q1054813	municipality of Japan
Q2393184	hill station
Q2416047	list of communities in Alberta
Q2432369	Japanese internment camps in the Dutch East Indies
Q2445823	floating city
Q2473740	kerkdorp
Q2479824	altepetl
Q2502365	Little America
Q201759	slum
Q202509	Chinatown
Q134626	district capital
Q137773	ward of Japan
Q148837	polis
Q1750414	Asty
Q1751950	Korporationsgemeinde
Q1758856	commune of Mali
Q1761572	barrio
Q1762221	Neotribalism
Q687312	Vorort
Q691960	satellite city
Q692581	holy city
Q692680	Ortsgemeinde
Q2514025	posyolok
Q2519150	Displaced city
Q2525994	villa urbana
Q2555896	municipality of Colombia
Q2560332	Werkbundsiedlung
Q2561694	city-kingdom of Cyprus
Q1623243	Hofschaft
Q1633408	concelho
Q1635663	folwark
Q1637706	city with millions of inhabitants
Q36617857	Crocetta Centre
Q36728566	ranger station
Q37501518	Japanese Americans relocation camp
Q37800986	Serbian city
Q39947311	warehouse district
Q40131033	member city of Eurotowns
Q40256562	intracity district of Belarus
Q40553563	restaurant district
Q41067667	municipality of Tunisia
Q41108733	settlement of Andorra
Q41501164	village of Crimea
Q41560536	Innovation City
Q41778911	Ortsgemeinde of Rhineland-Palatinate
Q42211429	township of Minnesota
Q177966	dead end village
Q180928	Paris districts
Q183342	federal city of Russia
Q1231729	contrada of Siena
Q1232414	Großgemeinde
Q1234236	pā
Q1256805	Drei-Flüsse-Stadt
Q1258093	Dreiseithof
Q1264690	transit camp
Q1266029	edge city
Q1266202	Jesuit reduction
Q1067867	Sestiere of Venice
Q1070942	commune-level town of Vietnam
Q1070990	county-level city
Q748149	prefecture-level city
Q748198	gay village
Q667509	municipality of Austria
Q674950	residential area
Q677678	fortified town
Q2633055	twin village
Q2636673	aljama
Q2640310	residential areas and neighbourhoods in Arnhem
Q2648768	residential areas and neighbourhoods in Muiden
Q2650083	museum farm
Q2650121	residential areas and neighbourhoods in Graft-De Rijp
Q2661988	urban settlement in Russia
Q2666845	municipality of South Africa
Q2679045	rancho of California
Q2689658	central municipality
Q610625	Municipi of Milan
Q618299	settlement
Q618846	apoikia
Q620509	military town
Q622499	refugee camp
Q638626	Banjar (Sociology of Bali)
Q640364	municipiu of Romania
Q652360	sustainable city
Q1094397	autonomous city
Q1094545	Civitas
Q1102346	Clos
Q1107167	cohousing
Q1128482	container village
Q205549	Zipserei
Q208511	global city
Q30559599	group of houses
